job,marital,education,default,housing,loan,y
technician,married,university.degree,no,yes,no,no
technician,married,university.degree,no,no,no,no
technician,married,university.degree,no,no,no,no
technician,married,university.degree,no,unknown,unknown,no
admin.,divorced,university.degree,no,no,no,no
technician,single,professional.course,no,yes,no,no
self-employed,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,no,no,no
technician,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
services,married,basic.4y,unknown,yes,no,no
admin.,divorced,university.degree,no,no,no,no
technician,single,professional.course,no,yes,no,no
technician,divorced,professional.course,unknown,yes,no,no
technician,married,high.school,no,no,no,no
technician,married,professional.course,no,yes,no,no
services,married,basic.4y,unknown,yes,no,no
retired,married,basic.9y,no,no,no,no
management,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,no,no,no
technician,divorced,professional.course,unknown,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
management,married,university.degree,no,no,no,no
admin.,married,university.degree,no,no,yes,no
retired,married,basic.9y,no,yes,yes,yes
technician,married,university.degree,no,yes,no,no
services,married,basic.4y,unknown,yes,no,yes
technician,married,professional.course,no,yes,no,no
admin.,married,university.degree,no,no,no,no
technician,married,university.degree,no,no,no,no
technician,married,professional.course,unknown,no,no,no
technician,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,no,no,no
technician,single,professional.course,no,yes,no,no
technician,divorced,professional.course,no,yes,no,no
unknown,married,unknown,unknown,yes,no,no
unemployed,divorced,high.school,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
self-employed,married,university.degree,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
technician,divorced,high.school,no,unknown,unknown,no
admin.,married,university.degree,no,no,no,no
admin.,single,high.school,no,no,no,no
technician,single,high.school,no,no,no,no
housemaid,married,unknown,unknown,yes,no,no
unemployed,divorced,professional.course,no,unknown,unknown,no
technician,single,high.school,no,yes,no,no
services,married,high.school,unknown,no,no,no
blue-collar,married,basic.4y,no,no,no,no
unknown,married,unknown,unknown,no,no,no
technician,married,professional.course,unknown,yes,no,no
technician,married,professional.course,no,no,no,no
housemaid,married,unknown,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,university.degree,no,yes,no,no
technician,single,university.degree,unknown,no,no,no
management,married,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,no,yes,no
admin.,married,university.degree,no,yes,no,no
entrepreneur,married,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,professional.course,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
technician,married,high.school,no,no,no,no
management,married,university.degree,no,yes,no,no
technician,single,university.degree,no,no,no,no
entrepreneur,married,high.school,no,yes,yes,no
technician,married,high.school,no,yes,yes,no
technician,divorced,professional.course,no,yes,no,no
unknown,married,basic.4y,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
management,married,university.degree,no,no,yes,no
services,married,high.school,no,no,no,no
admin.,single,university.degree,no,yes,no,no
blue-collar,married,high.school,no,yes,no,no
admin.,married,university.degree,unknown,yes,yes,no
services,married,high.school,no,yes,no,no
technician,single,professional.course,no,yes,yes,no
management,married,university.degree,no,yes,yes,no
management,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
technician,married,high.school,no,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,university.degree,no,unknown,unknown,no
technician,married,professional.course,no,no,no,no
services,married,basic.6y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
services,married,professional.course,unknown,yes,no,yes
admin.,married,high.school,no,no,no,no
admin.,married,professional.course,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
blue-collar,single,professional.course,no,no,no,no
admin.,divorced,university.degree,unknown,no,no,no
admin.,married,university.degree,no,yes,no,no
retired,married,basic.4y,no,no,no,yes
admin.,married,university.degree,no,yes,no,no
services,married,high.school,unknown,no,yes,no
self-employed,single,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,no,no,no
housemaid,married,basic.4y,no,no,no,no
services,divorced,high.school,unknown,yes,no,no
admin.,married,university.degree,unknown,no,no,no
retired,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
technician,married,university.degree,no,no,no,no
blue-collar,divorced,basic.6y,unknown,no,no,no
housemaid,married,professional.course,no,yes,no,no
technician,married,professional.course,no,yes,no,no
management,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,no,no,no
technician,married,professional.course,no,yes,no,yes
blue-collar,single,professional.course,no,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,yes,no
blue-collar,married,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,yes
housemaid,married,basic.4y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
admin.,married,basic.9y,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
admin.,single,university.degree,no,no,no,no
technician,married,professional.course,no,no,no,no
technician,divorced,high.school,no,yes,no,no
technician,single,professional.course,no,no,no,no
technician,single,high.school,no,no,no,yes
blue-collar,single,professional.course,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,divorced,professional.course,unknown,yes,no,no
technician,single,professional.course,no,no,no,no
retired,married,basic.4y,unknown,yes,no,no
unknown,married,basic.4y,unknown,no,no,no
unknown,married,unknown,unknown,no,no,no
technician,single,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
entrepreneur,married,high.school,no,no,no,no
retired,married,university.degree,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
technician,married,high.school,no,yes,no,no
management,married,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,yes,no
admin.,married,university.degree,unknown,no,no,no
technician,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
retired,married,professional.course,no,yes,no,no
retired,married,professional.course,no,no,no,no
unknown,married,basic.4y,unknown,yes,no,no
management,married,university.degree,no,yes,no,no
technician,married,professional.course,no,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,yes
retired,married,high.school,unknown,yes,yes,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,yes,no
admin.,divorced,university.degree,unknown,no,no,no
technician,single,professional.course,no,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
technician,divorced,high.school,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,university.degree,no,yes,no,yes
technician,married,professional.course,no,yes,yes,no
housemaid,married,basic.4y,no,yes,no,no
retired,married,professional.course,no,no,no,no
retired,married,professional.course,unknown,no,no,no
technician,married,professional.course,no,no,no,no
admin.,divorced,university.degree,no,no,yes,no
retired,married,basic.4y,unknown,yes,no,no
admin.,single,university.degree,no,no,no,no
services,married,high.school,no,yes,no,no
admin.,married,high.school,no,yes,yes,no
technician,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,yes,no
admin.,married,basic.9y,no,no,yes,no
technician,single,high.school,no,yes,no,no
technician,married,professional.course,unknown,yes,no,no
admin.,married,university.degree,no,no,no,no
self-employed,married,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,divorced,university.degree,no,no,yes,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
management,married,university.degree,no,yes,no,no
technician,single,high.school,no,yes,no,no
admin.,married,high.school,no,yes,no,no
technician,single,university.degree,no,yes,no,yes
management,married,university.degree,no,no,no,no
technician,married,professional.course,no,no,no,yes
technician,married,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
technician,married,university.degree,no,no,no,no
technician,divorced,professional.course,no,no,no,no
admin.,married,professional.course,no,yes,no,no
blue-collar,married,high.school,no,no,no,no
retired,married,high.school,no,unknown,unknown,no
unknown,married,basic.4y,unknown,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,high.school,no,no,no,no
retired,married,basic.4y,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,unknown,no,yes,no,no
retired,married,professional.course,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,professional.course,no,unknown,unknown,no
admin.,married,university.degree,no,yes,no,yes
technician,married,professional.course,no,yes,no,no
unknown,married,basic.4y,unknown,no,no,no
technician,married,professional.course,no,no,no,yes
admin.,married,university.degree,no,yes,no,no
self-employed,married,university.degree,no,yes,no,no
housemaid,married,basic.4y,no,no,yes,no
admin.,married,high.school,no,no,no,no
management,married,university.degree,no,no,no,no
retired,married,professional.course,no,yes,no,no
technician,married,professional.course,unknown,yes,no,no
technician,divorced,university.degree,no,yes,yes,no
technician,divorced,professional.course,no,no,no,no
technician,married,professional.course,no,yes,no,no
technician,single,professional.course,unknown,yes,yes,no
technician,divorced,high.school,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,divorced,university.degree,no,no,yes,no
technician,divorced,professional.course,unknown,yes,yes,no
technician,single,professional.course,no,yes,no,no
admin.,divorced,university.degree,unknown,yes,no,no
admin.,married,high.school,no,yes,yes,no
technician,married,professional.course,no,no,yes,no
technician,divorced,professional.course,no,yes,no,no
admin.,single,university.degree,no,no,no,no
technician,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
technician,single,high.school,no,no,no,no
admin.,married,university.degree,no,no,no,no
housemaid,married,basic.4y,unknown,yes,no,yes
technician,married,university.degree,no,no,no,no
retired,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,no,no,no
technician,married,university.degree,no,yes,no,no
retired,divorced,university.degree,unknown,no,no,no
technician,married,professional.course,unknown,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
technician,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,no,no,no
technician,married,professional.course,no,yes,no,no
technician,divorced,professional.course,unknown,no,no,no
admin.,married,university.degree,unknown,yes,no,no
unknown,married,unknown,no,yes,yes,no
management,married,university.degree,no,yes,yes,no
admin.,single,university.degree,no,yes,no,no
technician,divorced,professional.course,no,yes,yes,no
technician,married,professional.course,unknown,no,no,no
technician,single,university.degree,no,no,no,no
unemployed,married,university.degree,no,yes,no,no
admin.,married,high.school,no,no,no,no
admin.,married,basic.9y,unknown,yes,no,no
admin.,married,basic.9y,unknown,no,no,no
technician,single,professional.course,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,professional.course,no,no,no,no
technician,married,university.degree,no,no,no,yes
technician,married,professional.course,no,no,no,no
technician,married,professional.course,no,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,single,professional.course,no,no,no,no
services,married,basic.9y,unknown,yes,no,no
management,married,university.degree,no,yes,no,no
technician,single,professional.course,no,yes,no,no
self-employed,married,basic.4y,no,no,no,no
self-employed,married,basic.4y,no,no,no,no
admin.,married,high.school,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
technician,single,professional.course,no,yes,no,no
technician,married,university.degree,no,no,no,no
unemployed,married,university.degree,no,yes,no,no
housemaid,married,basic.9y,no,no,no,no
unemployed,married,basic.9y,unknown,no,yes,no
technician,divorced,professional.course,no,yes,yes,no
technician,divorced,professional.course,no,no,no,no
technician,married,professional.course,no,no,no,no
admin.,divorced,high.school,no,yes,no,no
retired,married,basic.6y,unknown,yes,no,no
technician,married,high.school,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,no,no,no
technician,divorced,professional.course,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
unknown,married,unknown,no,no,yes,no
technician,married,university.degree,no,yes,no,no
unemployed,married,university.degree,no,no,no,no
technician,married,university.degree,no,yes,no,no
technician,married,professional.course,no,no,yes,no
management,married,university.degree,no,no,no,no
technician,married,professional.course,no,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,single,university.degree,no,no,yes,no
management,married,professional.course,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
technician,single,university.degree,no,no,no,no
unemployed,married,basic.4y,no,yes,no,no
housemaid,married,basic.4y,unknown,no,no,no
admin.,divorced,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
technician,married,professional.course,unknown,yes,yes,no
technician,married,professional.course,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,divorced,university.degree,no,yes,yes,no
admin.,married,high.school,no,yes,yes,no
admin.,married,high.school,no,no,no,no
admin.,married,university.degree,unknown,no,no,no
technician,married,professional.course,no,yes,no,no
technician,single,university.degree,no,yes,no,no
technician,divorced,high.school,no,no,no,no
services,married,university.degree,unknown,no,yes,no
admin.,married,university.degree,unknown,yes,no,yes
technician,married,professional.course,no,yes,no,no
technician,single,professional.course,no,yes,no,no
technician,single,university.degree,no,yes,yes,no
technician,single,university.degree,no,yes,no,no
self-employed,single,university.degree,no,yes,yes,no
technician,divorced,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,yes,no
admin.,divorced,university.degree,no,yes,no,no
technician,married,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
technician,married,university.degree,no,yes,no,no
technician,single,professional.course,no,yes,no,no
technician,married,professional.course,no,no,no,no
technician,married,professional.course,no,no,no,no
self-employed,married,high.school,no,yes,no,no
admin.,married,university.degree,unknown,no,no,no
admin.,single,university.degree,no,yes,no,no
services,married,university.degree,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
management,married,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
technician,single,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,no,no,no
technician,single,university.degree,no,no,no,no
technician,single,university.degree,no,yes,no,yes
services,married,professional.course,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
technician,married,professional.course,unknown,no,no,no
technician,married,professional.course,no,yes,no,yes
unemployed,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,yes,no,no
admin.,single,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
technician,married,university.degree,unknown,yes,yes,no
technician,married,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,high.school,no,yes,no,no
technician,married,high.school,no,no,yes,no
technician,single,university.degree,no,yes,no,no
technician,single,professional.course,no,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,basic.9y,no,yes,no,no
technician,divorced,professional.course,no,yes,yes,no
technician,married,university.degree,no,unknown,unknown,no
admin.,married,university.degree,no,no,no,no
admin.,married,unknown,unknown,no,no,no
management,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,no,no,no
management,married,university.degree,no,yes,no,no
services,married,university.degree,unknown,yes,no,no
admin.,married,university.degree,no,no,no,no
unemployed,married,basic.9y,unknown,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
technician,married,professional.course,unknown,yes,no,no
admin.,married,university.degree,no,yes,yes,no
admin.,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,single,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
retired,married,university.degree,no,yes,no,no
services,married,professional.course,no,yes,no,no
technician,married,professional.course,no,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
housemaid,married,basic.4y,unknown,yes,no,no
technician,married,professional.course,no,no,no,no
admin.,divorced,high.school,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
services,married,professional.course,no,yes,no,no
unknown,married,unknown,no,no,no,no
technician,single,university.degree,no,yes,yes,no
services,married,professional.course,no,yes,yes,no
technician,married,university.degree,no,yes,no,no
technician,divorced,university.degree,unknown,no,no,no
admin.,single,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
unemployed,married,basic.9y,unknown,yes,no,no
admin.,married,high.school,no,unknown,unknown,no
housemaid,married,basic.9y,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
admin.,divorced,university.degree,unknown,yes,no,no
technician,married,professional.course,no,no,no,no
technician,married,university.degree,no,no,no,yes
management,married,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,yes,no
admin.,married,university.degree,no,no,no,no
services,married,basic.9y,no,no,no,no
admin.,married,high.school,no,yes,yes,no
admin.,married,university.degree,unknown,no,yes,no
self-employed,married,basic.6y,unknown,yes,no,no
admin.,married,university.degree,unknown,no,no,yes
admin.,married,university.degree,unknown,yes,no,no
admin.,married,university.degree,unknown,no,yes,no
admin.,married,basic.9y,unknown,yes,yes,yes
technician,divorced,professional.course,no,yes,no,no
technician,single,professional.course,unknown,yes,no,no
technician,married,university.degree,no,yes,no,no
technician,married,university.degree,no,yes,no,no
technician,single,professional.course,no,yes,no,no
admin.,married,university.degree,unknown,no,no,no
technician,married,high.school,no,yes,no,no
technician,married,university.degree,unknown,no,no,no
admin.,divorced,university.degree,no,yes,no,no
technician,married,university.degree,no,yes,yes,no
admin.,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,no,yes,no
management,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,yes,no
management,married,university.degree,no,yes,yes,no
technician,married,university.degree,no,no,no,no
technician,married,professional.course,unknown,yes,no,no
admin.,married,unknown,unknown,yes,yes,no
admin.,married,university.degree,no,no,no,no
technician,married,university.degree,no,yes,no,no
retired,divorced,university.degree,unknown,no,no,no
unknown,married,unknown,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,high.school,no,yes,no,no
unemployed,married,university.degree,no,no,no,no
services,married,basic.9y,unknown,no,no,no
housemaid,married,basic.9y,no,yes,no,no
technician,married,university.degree,unknown,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
housemaid,married,basic.4y,unknown,yes,no,no
unemployed,married,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
admin.,married,high.school,no,no,no,no
housemaid,married,university.degree,no,yes,yes,yes
admin.,married,university.degree,no,yes,no,no
management,married,university.degree,no,no,yes,no
technician,divorced,professional.course,no,no,no,no
management,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
self-employed,married,basic.6y,unknown,yes,no,no
admin.,married,high.school,unknown,no,no,no
self-employed,married,basic.6y,no,yes,no,no
admin.,married,university.degree,no,no,no,yes
retired,married,university.degree,unknown,no,no,no
technician,single,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,single,university.degree,no,no,no,no
retired,married,university.degree,unknown,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
admin.,married,basic.9y,unknown,yes,yes,no
unknown,married,unknown,no,yes,no,no
technician,single,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,yes,no
technician,married,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
housemaid,married,university.degree,no,unknown,unknown,no
admin.,married,unknown,unknown,no,no,no
management,married,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
technician,single,university.degree,no,yes,yes,no
admin.,married,high.school,no,yes,yes,no
technician,single,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,yes,yes,no
technician,married,university.degree,unknown,yes,no,no
management,married,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
technician,married,university.degree,unknown,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
technician,single,university.degree,no,yes,no,no
technician,divorced,high.school,unknown,yes,no,no
admin.,divorced,university.degree,no,no,no,no
services,married,professional.course,no,yes,no,no
technician,married,professional.course,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
technician,married,university.degree,unknown,no,no,no
technician,single,university.degree,no,no,no,no
technician,divorced,professional.course,no,yes,no,no
technician,married,university.degree,no,yes,no,no
unknown,married,unknown,unknown,yes,no,no
technician,married,professional.course,unknown,yes,no,no
blue-collar,married,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
services,married,professional.course,no,yes,yes,no
technician,divorced,professional.course,no,no,no,no
technician,married,professional.course,unknown,yes,no,no
technician,divorced,professional.course,no,yes,no,no
technician,married,professional.course,no,no,no,no
self-employed,married,university.degree,no,no,no,no
self-employed,married,university.degree,no,yes,no,no
admin.,married,basic.9y,no,no,no,no
admin.,single,university.degree,no,yes,no,no
management,married,university.degree,no,yes,no,no
technician,single,university.degree,no,no,no,no
technician,married,university.degree,no,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,yes,no
admin.,single,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
technician,single,high.school,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
retired,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,professional.course,no,no,no,no
self-employed,married,high.school,no,yes,no,no
admin.,married,basic.9y,no,yes,no,no
admin.,single,university.degree,no,no,no,no
technician,single,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,yes,no
admin.,single,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,yes,no
admin.,single,university.degree,no,yes,yes,no
services,married,university.degree,no,yes,no,no
technician,married,professional.course,unknown,yes,no,no
management,married,university.degree,unknown,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,yes,no
admin.,single,university.degree,no,yes,no,no
technician,single,university.degree,no,no,no,no
retired,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,no,no,no
blue-collar,married,unknown,unknown,yes,no,no
services,divorced,high.school,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
technician,divorced,professional.course,no,no,yes,no
technician,married,university.degree,no,no,no,no
admin.,married,high.school,unknown,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
admin.,single,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
admin.,married,high.school,no,no,no,no
technician,married,professional.course,no,yes,no,no
unemployed,single,university.degree,no,no,no,no
blue-collar,married,professional.course,no,no,yes,no
admin.,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,no,yes,yes,no
technician,married,high.school,no,no,no,no
self-employed,married,university.degree,no,yes,yes,no
unknown,married,unknown,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,basic.9y,no,no,no,no
technician,single,professional.course,unknown,no,no,no
admin.,divorced,high.school,no,no,no,no
technician,single,university.degree,no,yes,yes,no
admin.,single,university.degree,no,yes,yes,no
management,single,university.degree,no,no,no,no
management,single,university.degree,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,no,no,no
retired,married,high.school,no,no,no,no
admin.,single,university.degree,no,yes,no,no
services,married,professional.course,no,no,no,no
admin.,married,university.degree,no,no,no,no
services,married,professional.course,no,yes,yes,no
services,married,basic.9y,no,yes,no,no
housemaid,married,basic.4y,unknown,yes,no,no
admin.,divorced,university.degree,unknown,yes,no,no
services,married,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,no,yes
self-employed,married,university.degree,no,yes,no,no
technician,married,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,no,no,no
management,single,university.degree,no,yes,no,no
technician,married,high.school,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,yes,no,no
technician,married,high.school,no,no,no,no
unemployed,single,university.degree,no,yes,yes,no
unemployed,single,university.degree,no,yes,no,no
technician,single,professional.course,no,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,divorced,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
management,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,divorced,university.degree,unknown,no,no,no
admin.,married,basic.9y,unknown,yes,no,no
technician,married,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,married,high.school,no,yes,no,no
entrepreneur,married,basic.4y,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
self-employed,married,university.degree,no,no,no,no
admin.,married,university.degree,no,no,yes,no
technician,divorced,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
self-employed,married,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
technician,single,university.degree,no,no,no,no
technician,single,professional.course,no,no,no,no
admin.,single,university.degree,no,no,no,no
technician,single,university.degree,no,no,no,no
technician,single,university.degree,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
management,divorced,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
technician,married,high.school,unknown,no,no,no
technician,single,professional.course,no,yes,no,no
self-employed,married,university.degree,no,yes,no,no
admin.,married,university.degree,no,yes,yes,no
technician,married,high.school,no,unknown,unknown,no
admin.,married,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,yes,yes,no
technician,married,professional.course,no,no,no,no
services,married,professional.course,no,unknown,unknown,no
admin.,married,university.degree,no,yes,no,no
technician,single,university.degree,no,no,no,no
technician,divorced,professional.course,no,yes,yes,no
technician,single,university.degree,no,yes,no,no
technician,single,university.degree,no,yes,no,no
services,married,basic.6y,unknown,no,no,no
blue-collar,married,professional.course,no,no,no,no
admin.,divorced,professional.course,no,yes,yes,no
technician,married,university.degree,no,yes,no,no
services,married,basic.6y,unknown,yes,no,no
admin.,divorced,university.degree,no,yes,yes,no
admin.,divorced,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,no,yes,no
admin.,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,university.degree,no,no,yes,no
